Crime_Type,Crm Cd Desc
VEHICLE - STOLEN,81426
BATTERY - SIMPLE ASSAULT,60400
THEFT OF IDENTITY,49076
BURGLARY FROM VEHICLE,46958
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",46649
BURGLARY,46311
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43738
THEFT PLAIN - PETTY ($950 & UNDER),38909
INTIMATE PARTNER - SIMPLE ASSAULT,38418
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),29618
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27959
ROBBERY,26072
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",24499
VANDALISM - MISDEAMEANOR ($399 OR UNDER),20841
SHOPLIFTING - PETTY THEFT ($950 & UNDER),16664
CRIMINAL THREATS - NO WEAPON DISPLAYED,15837
BRANDISH WEAPON,11781
TRESPASSING,10611
INTIMATE PARTNER - AGGRAVATED ASSAULT,10392
VIOLATION OF RESTRAINING ORDER,9696
BIKE - STOLEN,6628
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",6313
OTHER MISCELLANEOUS CRIME,5535
VIOLATION OF COURT ORDER,5279
"BUNCO, GRAND THEFT",4851
ATTEMPTED ROBBERY,3971
OTHER ASSAULT,3538
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),3527
"THEFT, PERSON",3433
BATTERY WITH SEXUAL CONTACT,3363
"BURGLARY, ATTEMPTED",3162
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",3011
"RAPE, FORCIBLE",3006
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2843
DOCUMENT FORGERY / STOLEN FELONY,2639
VEHICLE - ATTEMPT STOLEN,2328
CONTEMPT OF COURT,2275
DISCHARGE FIREARMS/SHOTS FIRED,2211
ARSON,2116
BATTERY POLICE (SIMPLE),2097
PICKPOCKET,1854
"BUNCO, PETTY THEFT",1682
EXTORTION,1597
SHOTS FIRED AT INHABITED DWELLING,1429
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1423
